nounId,nominative,genitive,transformationType,isSlender,syllableCount,nomSuffix,genSuffix,has ea
1520,"amhastrach","amhastraí","aí",false,3,"ach","aí","no"
1539,"amhscarthanach","amhscarthanaí","aí",false,4,"ach","aí","no"
1578,"anailís","anailíse","+e",true,3,"s","se","no"
1584,"anairt","anairte","+e",true,2,"t","te","no"
1589,"analach","analaí","aí",false,3,"ach","aí","no"
1610,"anáid","anáide","+e",true,2,"d","de","no"
1625,"anbhuain","anbhuaine","+e",true,2,"n","ne","no"
1644,"andóigh","andóighe","+e",true,2,"h","he","no"
1649,"andúil","andúile","+e",true,2,"l","le","no"
1672,"anglais","anglaise","+e",true,2,"s","se","no"
1717,"antaigin","antaigine","+e",true,3,"n","ne","no"
1726,"antasubstaint","antasubstainte","+e",true,4,"t","te","no"
1734,"antraicít","antraicíte","+e",true,3,"t","te","no"
1756,"aoibh","aoibhe","+e",true,1,"h","he","no"
1767,"aoir","aoire","+e",true,1,"r","re","no"
1769,"aois","aoise","+e",true,1,"s","se","no"
1775,"aolchloch","aolchloiche","palatalized alt + e",false,2,"och","oiche","no"
1777,"aolchoinneal","aolchoinnle","syncope + e",false,3,"neal","nle","yes"
1803,"aonghin","aonghine","+e",true,2,"n","ne","no"
1837,"apaipléis","apaipléise","+e",true,3,"s","se","no"
1841,"apastróf","apastróife","palatalized alt + e",false,3,"óf","óife","no"
1843,"apsaint","apsainte","+e",true,2,"t","te","no"
1847,"aragail","aragaile","+e",true,3,"l","le","no"
1848,"aragóinít","aragóiníte","+e",true,4,"t","te","no"
1849,"araicis","araicise","+e",true,3,"s","se","no"
1851,"araid","araide","+e",true,2,"d","de","no"
1875,"ardaicme","ardaicme","unknown",true,3,"e","e","no"
1899,"ardchríoch","ardchríche","palatalized alt + e",false,2,"íoch","íche","no"
1902,"ardeaglais","ardeaglaise","+e",true,3,"s","se","no"
1906,"ardéirim","ardéirime","+e",true,3,"m","me","no"
1927,"ardóg","ardóige","palatalized alt + e",false,2,"óg","óige","no"
1935,"ardscoil","ardscoile","+e",true,2,"l","le","no"
1948,"argóint","argóinte","+e",true,2,"t","te","no"
1959,"armáid","armáide","+e",true,2,"d","de","no"
1962,"armchúirt","armchúirte","+e",true,2,"t","te","no"
1964,"armlann","armlainne","palatalized alt + e",false,2,"ann","ainne","no"
1966,"armóin","armóine","+e",true,2,"n","ne","no"
1974,"arraing","arrainge","+e",true,2,"g","ge","no"
1975,"arsainíd","arsainíde","+e",true,3,"d","de","no"
1976,"arsanaic","arsanaice","+e",true,3,"c","ce","no"
1996,"ascaill","ascaille","+e",true,2,"l","le","no"
2023,"aspalóid","aspalóide","+e",true,3,"d","de","no"
2033,"astitim","astitime","+e",true,3,"m","me","no"
2037,"astraláib","astraláibe","+e",true,3,"b","be","no"
2109,"athchaint","athchainte","+e",true,2,"t","te","no"
2187,"athghairm","athghairme","+e",true,2,"m","me","no"
2217,"athlámh","athláimhe","palatalized alt + e",false,2,"ámh","áimhe","no"
2224,"athléim","athléime","+e",true,2,"m","me","no"
2269,"athróg","athróige","palatalized alt + e",false,2,"óg","óige","no"
2305,"athúsáid","athúsáide","+e",true,3,"d","de","no"
2307,"atitim","atitime","+e",true,3,"m","me","no"
2338,"áibhéil","áibhéile","+e",true,2,"l","le","no"
